Date,SKU_ID,SKU_Name,Category,Region,Units_Sold,Unit_Price,Current_Stock,Reorder_Level,Lead_Time_Days,Promotion_Flag,Revenue
2025-08-24,SKU1007,Grocery_Item_2,Grocery,West,274.0,1627.47,439.7,69,10,0,445926.78
2026-01-25,SKU1001,Electronics_Item_1,Electronics,West,88.0,1946.19,176.4,46,14,0,171264.72
05-10-2025,SKU1015,Apparel_Item_5,Apparel,East,43.0,428.01,223.2,60,16,0,18404.43
2025-04-20,SKU1010,Grocery_Item_5,Grocery,West,176.0,2077.7,1537.1,57,7,0,365675.2
2025-07-20,SKU1004,Electronics_Item_4,Electronics,South,263.0,1914.79,1954.2,67,15,0,503589.77
2026-07-19,SKU1015,Apparel_Item_5,Apparel,West,24.0,428.01,92.5,60,16,0,10272.24
2025-11-16,SKU1018,Home_Item_3,Home & Kitchen,West,254.0,1200.41,2237.0,31,17,0,304904.14
2025-07-27,SKU1002,Electronics_Item_2,Electronics,East,144.0,2153.56,387.7,61,4,0,310112.64
2024-10-06,SKU1007,Grocery_Item_2,Grocery,South,410.0,1627.47,1767.6,69,10,1,667262.7
2026-08-23,SKU1022,Beauty_Item_2,Beauty,South,93.0,1765.65,370.0,38,4,0,164205.45
2025-08-24,SKU1002,Electronics_Item_2,Electronics,West,189.0,2153.56,844.6,61,4,0,407022.84
2025-04-13,SKU1010,Grocery_Item_5,Grocery,South,207.0,2077.7,1713.1,57,7,0,430083.9
2025-12-21,SKU1024,Beauty_Item_4,Beauty,South,131.0,999.32,571.8,37,19,0,130910.92
2025-03-23,SKU1015,Apparel_Item_5,Apparel,North,30.0,428.01,79.8,60,16,0,12840.3
2025-03-30,SKU1022,Beauty_Item_2,Beauty,West,68.0,1765.65,319.4,38,4,0,120064.2
2025-10-19,SKU1003,Electronics_Item_3,Electronics,North,286.0,280.73,1292.6,78,12,0,80288.78
2025-08-17,SKU1003,Electronics_Item_3,Electronics,North,284.0,280.73,842.3,78,12,0,79727.32
2025-04-27,SKU1014,Apparel_Item_4,Apparel,North,125.0,1193.47,462.1,22,11,0,149183.75
2024-11-03,SKU1016,Home_Item_1,Home & Kitchen,West,133.0,1874.67,328.5,78,9,1,249331.11
2024-12-15,SKU1011,Apparel_Item_1,Apparel,,203.0,1907.31,72.8,41,15,0,387183.93
2025-10-05,SKU1002,Electronics_Item_2,Electronics,North,145.0,2153.56,803.7,61,4,0,312266.2
16-08-2026,SKU1022,Beauty_Item_2,Beauty,West,75.0,1765.65,463.0,38,4,0,132423.75
2025-11-23,SKU1021,Beauty_Item_1,Beauty,North  ,368.0,1121.02,619.9,69,5,0,412535.36
